,stock_no,stock_name
223,03096P,台積電凱基03售05
224,03099P,玉晶光凱基03售01
225,03100P,玉晶光凱基03售04
226,03102P,臺股指凱基03售08
227,03104P,大立光元富04售01
228,03105P,大立光元富04售02
229,03114P,台灣50富邦03售05
230,03120P,臺指反元大04售10
231,03128P,玉晶光國泰03售04
232,03130P,滬深2X元富07售01
233,03131P,南亞科元富07售02
234,03134P,台積電中信07售05
235,03138P,台灣50凱基04售12
236,03167P,友達元富07售02
237,03169P,台灣50中信03售10
238,03171P,台積電中信05售07
239,03193P,台積電國泰03售06
240,03194P,國巨元富07售14
241,03195P,台積電元富07售14
242,03196P,台積電元富07售15
243,03201P,台灣50凱基04售13
244,03211P,健鼎國票03售01
245,03212P,健策國票03售03
246,03220P,台灣50凱基04售14
247,03226P,台積電凱基03售10
248,03248P,聯電元富03售03
249,03249P,華擎元富04售01
250,03250P,日月光元富07售02
251,03253P,台灣50國泰03售02
252,03254P,台積電國泰03售09
253,03255P,台積電國泰03售10
254,03261P,力山國票04售01
255,03262P,建準國票04售01
256,03263P,日月光國票04售01
257,03264P,聯茂國票04售01
258,03265P,訊芯國票04售01
259,03266P,寶成國票04售01
260,03273P,台積電元富08售03
261,03274P,台積電元富08售04
262,03277P,聯發科中信04售03
263,03281P,台積電凱基04售01
264,03289P,臺指反元大05售03
265,03300P,台積電元富08售07
266,03301P,台積電元富08售08
267,03306P,臺股指中信05售01
268,03307P,臺股指中信05售02
269,03308P,臺股指中信05售03
270,03309P,台灣50凱基05售01
271,03317P,台積電元富08售11
272,03318P,台積電元富08售12
273,03325P,臺股指凱基04售05
274,03326P,臺股指凱基05售01
275,03327P,臺股指凱基05售02
276,03336P,光寶科國票04售01
277,03337P,華邦電國票04售01
278,03338P,緯創國票04售01
279,03340P,瀚宇博國票04售01
280,03342P,台郡國票04售01
281,03343P,鴻海元富08售02
282,03344P,台積電元富08售15
283,03345P,台積電元富08售16
284,03355P,聯發科凱基03售08
285,03357P,大立光兆豐03售03
286,03360P,鴻海元大03售02
287,03370P,臺指反元大05售04
288,03384P,聯電凱基03售07
289,03387P,台積電凱基03售11
290,03389P,台積電凱基03售12
291,03391P,國巨兆豐03售03
292,03393P,聯電國泰03售01
293,03394P,聯電國泰04售01
294,03395P,大立光國泰04售02
295,03396P,台積電中信06售07
296,03397P,台積電中信06售08
297,03398P,瑞昱中信06售03
298,03400P,滬深2X凱基05售01
299,03401P,聯發科凱基03售09
300,03403P,玉晶光凱基03售07
301,03404P,深中小群益03售03
302,03405P,聯電群益04售01
303,03407P,華新科國泰03售02
304,03414P,臺股指元大03售06
305,03415P,臺股指元大03售07
306,03417P,瑞昱群益04售01
307,03419P,玉晶光群益03售04
308,03425P,台灣50元大03售04
309,03426P,道瓊銀元大03售05
310,03437P,道瓊銀凱基05售03
311,03443P,台積電兆豐03售09
312,03454P,台積電凱基03售14
313,03458P,玉晶光凱基03售08
314,03459P,台積電國票03售08
315,03461P,聯發科國票03售04
316,03463P,宏碁元富08售02
317,03467P,臺股指中信04售06
318,03468P,臺股指中信05售04
319,03471P,台灣50兆豐03售03
320,03472P,台灣50元大03售06
321,03476P,鴻海元富08售04
322,03477P,TPK元富03售03
323,03479P,牧德國票03售04
324,03482B,臺股指凱基07熊08
325,03482P,緯穎群益03售01
326,03483B,臺股指元大0B熊01
327,03483P,聯發科國泰04售01
328,03484B,臺股指元大0A熊13
329,03484P,欣興國泰04售02
330,03485B,臺股指元大09熊02
331,03486B,臺股指凱基07熊19
332,03487B,臺股指凱基07熊20
333,03488B,臺股指元大05熊54
334,03489B,臺股指元大06熊19
335,03489P,上証2X元大03售07
336,03490B,臺股指元大04熊32
337,03491B,臺股指元大0A熊14
338,03492B,臺股指凱基07熊32
339,03493B,臺股指凱基08熊17
340,03494B,臺股指元大05熊56
341,03495B,台灣50元大08熊08
342,03496B,臺股指元大05熊57
343,03497B,臺股指元大0A熊18
344,03501P,奇鋐國票03售02
345,03502P,奇力新元富03售01
346,03503P,欣興元富05售02
347,03504P,T50反1台新04售01
348,03505P,華通群益03售02
349,03506P,鴻海國泰06售01
350,03524P,奇鋐凱基03售01
351,03538P,景碩元富08售02
352,03539P,牧德元富08售01
353,03541P,欣興國泰04售03
354,03545P,可成群益03售02
355,03547P,鴻海凱基06售01
356,03552P,上銀元富08售02
357,03553P,可成元富08售03
358,03554P,可成元富08售04
359,03560P,台積電兆豐03售10
360,03566P,臺股指日盛03售01
361,03568P,臺股指凱基04售08
362,03570P,台積電元大03售09
363,03574P,台灣50元富04售03
364,03575P,台灣50元富05售01
365,03576P,台灣50元富06售01
366,03577P,創意元富08售03
367,03578P,創意元富08售04
368,03581P,台積電群益03售04
369,03588P,臺股指元大03售11
370,03589P,臺股指元大03售12
371,03590P,臺股指元大03售13
372,03591P,台積電國票03售10
373,03593P,京元電元富05售02
374,03597P,玉晶光凱基03售12
375,03602P,臺股指中信03售04
376,03607P,聯發科兆豐04售01
377,03612P,台灣50國票03售03
378,03613P,台灣50國票03售04
379,03616P,聯發科國票03售07
380,03622P,聯發科國泰04售03
381,03623P,A50正2國票03售02
382,03624P,上銀國票03售01
383,03629P,聯發科元富08售08
384,03631P,欣興凱基03售07
385,03632P,上証2X中信03售02
386,03634P,聯發科中信03售04
387,03640P,臺股指元大03售19
388,03642P,國巨群益03售04
389,03643P,聯發科群益03售05
390,03644P,聯發科群益03售06
391,03646P,國巨國泰04售02
392,03648P,台積電凱基06售03
393,03650P,國巨國票03售03
394,03657P,國巨群益03售07
395,03658P,國巨群益03售08
396,03659P,旺宏群益03售03
397,03660P,聯發科群益03售08
398,03661P,同欣電群益03售03
399,03664P,聯發科國票03售11
400,03666P,台積電凱基05售02
401,03668P,聯發科凱基03售12
402,03669C,滬深2X元富09牛01
403,03670P,臺股指中信05售05
404,03671P,臺股指中信05售06
405,03672P,台積電國票03售14
406,03675C,臺股指元大04牛02
407,03675P,SP黃豆元大03售04
408,03676C,臺股指元大04牛03
409,03677C,臺股指元大05牛02
410,03679C,臺股指元大04牛04
411,03683P,鴻海群益03售05
412,03684C,臺股指元大06牛01
413,03685P,大立光群益03售04
414,03686C,臺股指元大04牛05
415,03693P,臺股指凱基05售03
416,03694C,臺股指元大04牛08
417,03694P,臺股指凱基05售04
418,03695P,瑞昱國票03售02
419,03697P,牧德國票03售06
420,03700C,臺股指元大03牛17
421,03702C,臺股指凱基03牛21
422,03705C,臺股指凱基04牛21
423,03706P,台灣50群益03售08
424,03707C,台積電凱基05牛05
425,03707P,台灣50群益03售09
426,03708P,台灣50群益03售10
427,03709C,臺股指元大05牛18
428,03711C,臺股指凱基05牛26
429,03712P,欣興群益03售02
430,03713C,臺股指元大04牛31
431,03713P,台灣50凱基03售06
432,03714P,台灣50凱基05售02
433,03715P,台積電凱基04售03
434,03718C,臺股指元大05牛53
435,03719C,台積電富邦08牛08
436,03719P,金像電國票03售03
437,03720C,臺股指凱基06牛29
438,03720P,台灣50元大03售09
439,03721C,FBVIX凱基09牛01
440,03721P,T50反1元大05售02
441,03722C,臺股指元大06牛17
442,03722P,臺指反元大05售06
443,03724C,臺股指元大06牛18
