,stock_no,stock_name
6458,072646,國巨元富07購19
6459,072647,國巨元富07購20
6460,072648,台積電元富07購23
6461,072649,台積電元富07購24
6462,072650,奇鋐元富03購02
6463,072651,嘉澤元富06購01
6464,072652,智伸科元富09購02
6465,072653,力成元富09購01
6466,072654,S&P反1元大04購01
6467,072655,道瓊銀元大03購11
6468,072656,台塑元大03購02
6469,072657,長興元大03購04
6470,072658,華通元大03購03
6471,072659,鴻海元大03購05
6472,072660,鴻海元大03購06
6473,072661,漢唐元大03購01
6474,072662,漢唐元大04購01
6475,072663,友達元大03購12
6476,072664,京元電元大03購01
6477,072665,京元電元大03購02
6478,072666,大立光元大03購12
6479,072667,嘉澤元大03購03
6480,072668,茂林元大03購05
6481,072669,祥碩元大04購01
6482,072670,力成元大03購01
6483,072671,力成元大03購02
6484,072672,同欣電元大03購02
6485,072673,緯穎元大03購06
6486,072674,世紀鋼元大04購01
6487,072675,鴻海國泰05購01
6488,072676,智邦國泰05購01
6489,072677,大立光國泰05購01
6490,072678,帆宣國泰05購01
6491,072679,台灣50富邦05購01
6492,072680,台積電富邦05購04
6493,072681,可成富邦03購02
6494,072682,玉晶光富邦05購01
6495,072683,日月光富邦05購01
6496,072684,和大永豐03購01
6497,072685,南港永豐03購02
6498,072686,金像電永豐03購03
6499,072687,凌陽永豐03購02
6500,072688,南亞科永豐03購01
6501,072689,奇力新永豐03購01
6502,072690,冠德永豐03購02
6503,072691,東森永豐03購02
6504,072692,高鐵永豐03購01
6505,072693,大立光永豐03購04
6506,072694,華擎永豐03購02
6507,072695,日月光永豐03購02
6508,072696,彩晶永豐03購02
6509,072697,道瓊銀群益03購03
6510,072698,道瓊銀群益03購04
6511,072699,可成群益03購07
6512,072700,上緯控群益04購03
6513,072701,中租群益03購01
6514,072702,T50正2元富07購04
6515,072703,滬深2X元富09購03
6516,072704,日月光元富09購01
6517,072705,超眾元富09購01
6518,072706,和大統一03購01
6519,072707,鴻海統一03購09
6520,072708,鴻海統一05購04
6521,072709,國巨統一03購11
6522,072710,台積電統一05購06
6523,072711,宏達電統一03購04
6524,072712,群創統一04購03
6525,072713,彩晶統一04購03
6526,072714,臺企銀國票04購01
6527,072715,兆豐金國票04購01
6528,072716,聯茂國票04購03
6529,072717,臺股指國票03購19
6530,072718,世紀鋼麥證03購01
6531,072719,美指2X康和03購01
6532,072720,華城凱基03購02
6533,072721,正隆凱基03購02
6534,072722,聯電凱基04購03
6535,072723,智邦凱基03購04
6536,072724,義隆凱基04購03
6537,072725,強茂凱基04購01
6538,072726,國揚凱基03購03
6539,072727,大立光凱基05購01
6540,072728,奇鋐凱基04購03
6541,072729,智易凱基03購02
6542,072730,貿聯凱基03購02
6543,072731,聯茂凱基03購01
6544,072732,GIS凱基03購02
6545,072733,南電凱基04購02
6546,072734,道瓊銀元大03購12
6547,072735,亞泥元大03購01
6548,072736,上銀元大03購04
6549,072737,上銀元大03購05
6550,072738,上銀元大03購06
6551,072739,台積電元大03購25
6552,072740,南亞科元大03購01
6553,072741,京元電元大03購03
6554,072742,可成元大03購09
6555,072743,華新科元大03購06
6556,072744,新光金元大05購01
6557,072745,大立光元大03購13
6558,072746,景碩元大03購02
6559,072747,玉晶光元大05購03
6560,072748,眾達元大03購02
6561,072749,祥碩元大03購08
6562,072750,祥碩元大04購02
6563,072751,同欣電元大03購03
6564,072752,同欣電元大03購04
6565,072753,樺漢元大03購01
6566,072754,瑞祺元大03購03
6567,072755,致新元大03購02
6568,072756,T50反1國泰09購01
6569,072757,滬深2X國泰05購02
6570,072758,國巨國泰05購03
6571,072759,台積電國泰05購04
6572,072760,台積電國泰05購05
6573,072761,金像電國泰05購03
6574,072762,技嘉國泰05購01
6575,072763,大立光國泰07購02
6576,072764,智易國泰05購01
6577,072765,上緯控國泰05購01
6578,072766,緯穎國泰05購01
6579,072767,T50正2富邦05購02
6580,072768,台泥永豐03購01
6581,072769,統一永豐03購01
6582,072770,生達永豐03購01
6583,072771,台積電永豐03購05
6584,072772,友訊永豐03購02
6585,072773,聯茂兆豐04購01
6586,072774,台郡兆豐05購01
6587,072775,欣興中信04購02
6588,072776,嘉澤中信04購01
6589,072777,申豐中信04購01
6590,072778,京城銀康和04購01
6591,072779,台勝科康和04購01
6592,072780,信錦凱基04購01
6593,072781,友訊凱基04購01
6594,072782,華邦電凱基05購01
6595,072783,技嘉凱基04購01
6596,072784,漢唐凱基05購01
6597,072785,聯發科凱基04購03
6598,072786,可成凱基04購04
6599,072787,總太凱基05購01
6600,072788,松翰凱基04購02
6601,072789,台達電國票05購01
6602,072790,台達電國票05購02
6603,072791,華通國票05購01
6604,072792,鴻海國票05購01
6605,072793,友訊國票04購02
6606,072794,華邦電國票05購01
6607,072795,可成國票05購01
6608,072796,可成國票05購02
6609,072797,大立光國票05購01
6610,072798,泰碩國票05購01
6611,072799,玉晶光國票07購01
6612,072800,嘉澤國票05購01
6613,072801,貿聯國票05購01
6614,072802,日月光國票05購01
6615,072803,松翰國票05購02
6616,072804,松翰國票06購01
6617,072805,力成國票05購01
6618,072806,巨大國票05購01
6619,072807,上銀統一06購01
6620,072808,聯電統一06購01
6621,072809,台積電統一04購15
6622,072810,台積電統一06購03
6623,072811,聯發科統一05購04
6624,072812,欣興統一06購01
6625,072813,緯穎統一06購01
6626,072814,南電統一06購01
6627,072815,T50正2元富08購01
6628,072816,康控元富05購02
6629,072817,祥碩元富08購01
6630,072818,祥碩元富08購02
6631,072819,T50反1群益04購01
6632,072820,FANG+群益04購01
6633,072821,華通群益04購02
6634,072822,台積電群益04購02
6635,072823,台積電群益05購01
6636,072824,台積電群益05購02
6637,072825,日月光群益04購02
6638,072826,祥碩群益05購01
6639,072827,松翰群益04購01
6640,072828,上海銀群益04購01
6641,072829,彩晶群益04購03
6642,072830,T50正2元大07購01
6643,072831,滬深2X元大04購05
6644,072832,葡萄王元大07購01
6645,072833,中橡元大07購01
6646,072834,國巨元大04購05
6647,072835,台積電元大04購04
6648,072836,台積電元大04購05
6649,072837,聯強元大07購01
6650,072838,可成元大04購02
6651,072839,強茂元大04購02
6652,072840,美食元大04購01
6653,072841,大立光元大04購02
6654,072842,大立光元大05購03
6655,072843,松翰元大04購01
6656,072844,中租元大07購01
6657,072845,中租元大07購02
6658,072846,瑞儀元大04購01
6659,072847,聯茂元大04購01
6660,072848,聯茂元大04購02
6661,072849,聯茂元大04購03
6662,072850,聯茂元大05購01
6663,072851,致新元大04購01
6664,072852,達方元大05購01
6665,072853,臺股指元大04購21
6666,072854,臺股指元大04購22
6667,072855,臺股指元大04購23
6668,072856,臺股指元大04購24
6669,072857,聯發科國泰09購01
6670,072858,國揚國泰05購01
6671,072859,松翰國泰06購01
6672,072860,世紀鋼國泰08購01
6673,072861,味全永豐04購01
6674,072862,中化永豐04購01
6675,072863,葡萄王永豐04購01
6676,072864,中橡永豐04購01
6677,072865,劍麟永豐04購01
6678,072866,英利永豐04購01
6679,072867,旺宏永豐04購01
6680,072868,華邦電永豐04購01
6681,072869,晶華永豐04購01
6682,072870,泰碩永豐04購01
6683,072871,揚明光永豐04購01
6684,072872,祥碩永豐04購01
6685,072873,中租永豐04購01
6686,072874,上海銀永豐04購01
6687,072875,聚碩永豐04購01
6688,072876,昇陽半永豐04購01
6689,072877,柏文永豐04購01
6690,072878,玉晶光兆豐05購01
6691,072879,樺漢兆豐04購01
6692,072880,國巨中信04購01
6693,072881,日月光中信05購01
6694,072882,亞德客群益04購01
6695,072883,台達電群益04購02
6696,072884,國巨群益04購04
6697,072885,台積電群益04購03
6698,072886,旺宏群益04購03
6699,072887,可成群益04購04
6700,072888,中租群益04購01
6701,072889,臺股指群益04購01
6702,072890,臺股指群益04購02
6703,072891,臺股指群益04購03
6704,072892,臺股指群益04購04
6705,072893,元金2X凱基07購01
6706,072894,味全凱基07購01
6707,072895,中化凱基05購01
6708,072896,葡萄王凱基07購01
6709,072897,聯電凱基04購04
6710,072898,聯電凱基05購01
6711,072899,國巨凱基04購08
6712,072900,台積電凱基04購08
6713,072901,台積電凱基04購09
6714,072902,旺宏凱基04購04
6715,072903,聯強凱基07購01
6716,072904,佳世達凱基05購01
6717,072905,京元電凱基04購01
6718,072906,全新凱基04購01
6719,072907,大立光凱基04購04
6720,072908,嘉澤凱基05購01
6721,072909,日月光凱基04購01
6722,072910,祥碩凱基05購01
6723,072911,上海銀凱基04購01
6724,072912,台塑化凱基04購01
6725,072913,臺股指凱基07購01
6726,072914,台灣50元大06購02
6727,072915,滬深2X元大04購06
6728,072916,香港2X元大04購02
6729,072917,南亞元大04購01
6730,072918,長興元大04購01
6731,072919,上銀元大04購01
6732,072920,聯電元大04購01
6733,072921,聯電元大04購02
6734,072922,鴻海元大05購01
6735,072923,國巨元大05購02
6736,072924,國巨元大05購03
6737,072925,台積電元大04購06
6738,072926,台積電元大04購07
6739,072927,台積電元大04購08
6740,072928,智邦元大04購01
6741,072929,智邦元大04購02
6742,072930,可成元大04購03
6743,072931,大立光元大04購03
6744,072932,大立光元大04購04
6745,072933,大立光元大04購05
6746,072934,泰碩元大07購01
6747,072935,超眾元大04購01
6748,072936,瑞祺元大04購01
6749,072937,和潤元大07購01
6750,072938,昇陽半元大07購01
6751,072939,華通永豐04購01
6752,072940,慧洋永豐04購01
6753,072941,嘉晶永豐04購01
6754,072942,欣興永豐04購01
6755,072943,新日興永豐04購01
6756,072944,嘉澤永豐04購01
6757,072945,葡萄王國票06購01
6758,072946,中橡國票06購01
6759,072947,劍麟國票06購01
6760,072948,台積電國票04購09
6761,072949,台積電國票05購07
6762,072950,台積電國票05購08
6763,072951,慧洋國票06購01
6764,072952,晶華國票06購01
6765,072953,京城銀國票05購01
6766,072954,緯創國票05購01
6767,072955,祥碩國票05購01
6768,072956,祥碩國票06購01
6769,072957,中租國票06購01
6770,072958,昇陽半國票06購01
6771,072959,柏文國票06購01
6772,072960,臺股指國票04購01
6773,072961,臺股指國票04購02
6774,072962,聯電統一04購08
6775,072963,聯電統一05購03
6776,072964,華通統一04購04
6777,072965,旺宏統一04購04
6778,072966,旺宏統一05購02
6779,072967,景碩統一05購02
6780,072968,嘉澤統一05購01
6781,072969,日月光統一04購01
6782,072970,日月光統一04購02
6783,072971,日月光統一06購01
6784,072972,祥碩統一04購01
6785,072973,祥碩統一05購03
6786,072974,彩晶統一05購01
6787,072975,T50反1元富07購08
6788,072976,T50反1元富07購09
6789,072977,聯電元富08購01
6790,072978,聯電元富08購02
6791,072979,鴻海元富07購14
6792,072980,國巨元富07購21
6793,072981,台積電元富07購25
6794,072982,台積電元富07購26
6795,072983,台積電元富07購27
6796,072984,可成元富07購07
6797,072985,南電元富07購06
6798,072986,T50正2中信07購02
6799,072987,上証2X群益04購01
6800,072988,滬深2X群益04購01
6801,072989,S&P正2群益04購01
6802,072990,元金2X群益04購01
6803,072991,中橡群益07購01
6804,072992,慧洋群益04購01
6805,072993,晶華群益04購01
6806,072994,京城銀群益04購01
6807,072995,泰碩群益07購02
6808,072996,明泰群益04購02
6809,072997,大銀群益04購01
6810,072998,臻鼎群益04購01
6811,072999,和潤群益04購01
6812,073000,柏文群益04購01
6813,073001,泰碩群益07購01
6814,073002,南帝元大04購01
6815,073003,華通元大04購01
6816,073004,鴻海元大04購01
6817,073005,鴻海元大04購02
6818,073006,鴻海元大04購03
6819,073007,國巨元大04購07
6820,073008,台積電元大04購09
6821,073009,台積電元大04購10
6822,073010,旺宏元大04購06
6823,073011,華邦電元大04購01
6824,073012,華邦電元大05購01
6825,073013,智邦元大04購03
6826,073014,台勝科元大07購01
6827,073015,台勝科元大07購02
6828,073016,嘉澤元大04購01
6829,073017,嘉澤元大04購02
6830,073018,日月光元大04購01
6831,073019,日月光元大04購02
6832,073020,臻鼎元大04購01
6833,073021,眾達元大07購01
6834,073022,祥碩元大04購03
6835,073023,祥碩元大05購01
6836,073024,GIS元大04購01
6837,073025,世紀鋼元大06購01
6838,073026,國巨統一05購02
6839,073027,義隆統一05購01
6840,073028,可成統一06購01
6841,073029,大毅統一06購01
6842,073030,華新科統一05購01
6843,073031,大立光統一04購06
6844,073032,新日興統一04購01
6845,073033,創意統一06購01
6846,073034,群創統一04購04
6847,073035,嘉澤統一05購02
6848,073036,TPK統一06購01
6849,073037,旭富統一06購01
6850,073038,樺漢統一06購01
6851,073039,GIS統一06購01
6852,073040,惠特統一06購01
6853,073041,滬深2X元富04購03
6854,073042,旺宏元富0A購01
6855,073043,華邦電元富0A購01
6856,073044,嘉澤元富07購01
6857,073045,嘉澤元富07購02
6858,073046,康控元富08購01
6859,073047,中租元富08購01
6860,073048,中租元富08購02
6861,073049,緯穎元富0A購01
6862,073050,聯強國票05購01
6863,073051,世紀鋼國票05購02
6864,073052,台船康和04購01
6865,073053,T50正2凱基06購01
6866,073054,劍麟凱基06購01
6867,073055,英利凱基05購01
6868,073056,光磊凱基04購01
6869,073057,凌陽凱基07購01
6870,073058,聯發科凱基04購04
6871,073059,晶華凱基06購01
6872,073060,京城銀凱基06購01
6873,073061,大立光凱基05購02
6874,073062,和鑫凱基06購01
6875,073063,玉晶光凱基05購02
6876,073064,揚明光凱基05購01
6877,073065,台勝科凱基06購01
6878,073066,眾達凱基06購01
6879,073067,中租凱基07購01
6880,073068,帆宣凱基06購01
6881,073069,嘉基凱基05購01
6882,073070,昇陽半凱基07購01
6883,073071,寶成凱基04購01
6884,073072,世紀鋼凱基04購04
6885,073073,滬深2X國泰06購01
6886,073074,亞聚國泰05購01
6887,073075,旺宏國泰06購01
6888,073076,台光電國泰06購01
6889,073077,華新科國泰06購01
6890,073078,滬深2X富邦06購01
6891,073079,宏碁富邦06購01
6892,073080,堤維西永豐04購01
6893,073081,聯強永豐04購01
6894,073082,敬鵬永豐04購01
6895,073083,仲琦永豐04購01
6896,073084,敦陽科永豐04購01
6897,073085,京城銀永豐04購01
6898,073086,玉晶光永豐04購01
6899,073087,健策永豐04購01
6900,073088,永信永豐04購01
6901,073089,聯陽中信04購01
6902,073090,亞光中信08購01
6903,073091,松翰中信04購01
6904,073092,國揚兆豐04購01
6905,073093,台表科兆豐05購01
6906,073094,鴻海統一05購05
6907,073095,台積電統一07購01
6908,073096,精元統一06購01
6909,073097,精元統一06購02
6910,073098,聯發科統一05購05
6911,073099,合勤控統一06購01
6912,073100,松翰統一06購01
6913,073101,松翰統一06購02
6914,073102,松翰統一06購03
6915,073103,松翰統一06購04
6916,073104,帆宣統一07購01
6917,073105,帆宣統一08購01
6918,073106,億豐統一06購01
6919,073107,台聚元富08購01
6920,073108,華城元富0A購01
6921,073109,大亞元富0A購01
6922,073110,和桐元富08購01
6923,073111,勝一元富08購01
6924,073112,順德元富07購01
6925,073113,精元元富08購01
6926,073114,強茂元富07購01
6927,073115,松翰元富07購01
6928,073116,達麗元富08購01
6929,073117,精成科元富08購01
6930,073118,台灣50元大04購07
6931,073119,元黃金元大07購01
6932,073120,S&P正2元大05購01
6933,073121,FBVIX元大04購02
6934,073122,台聚元大04購01
6935,073123,台聚元大04購02
6936,073124,台達化元大04購01
6937,073125,台達化元大04購02
6938,073126,聯成元大04購01
6939,073127,新纖元大04購01
6940,073128,永冠元大04購01
6941,073129,永冠元大04購02
6942,073130,大亞元大04購01
6943,073131,大亞元大04購02
6944,073132,中纖元大05購01
6945,073133,台肥元大04購01
6946,073134,台玻元大04購01
6947,073135,永豐餘元大04購01
6948,073136,東鋼元大04購01
6949,073137,東鋼元大04購02
6950,073138,中鴻元大04購01
6951,073139,新光鋼元大04購01
6952,073140,正新元大04購01
6953,073141,正新元大04購02
6954,073142,南帝元大04購02
6955,073143,聯電元大04購04
6956,073144,聯電元大04購05
6957,073145,台達電元大04購01
6958,073146,鴻海元大04購04
6959,073147,鴻海元大04購05
6960,073148,國巨元大04購08
6961,073149,旺宏元大04購07
6962,073150,台光電元大04購01
6963,073151,可成元大04購04
6964,073152,萬海元大04購01
6965,073153,萬海元大04購02
6966,073154,玉晶光元大06購01
6967,073155,達邁元大04購01
6968,073156,大聯大元大04購01
6969,073157,欣陸元大04購01
6970,073158,合勤控元大04購01
6971,073159,合勤控元大04購02
6972,073160,材料元大04購01
6973,073161,力成元大04購01
6974,073162,南六元大04購01
6975,073163,億豐元大04購01
6976,073164,億豐元大04購02
6977,073165,世紀鋼元大04購02
6978,073166,元石油國票04購01
6979,073167,道瓊反國票07購01
6980,073168,台聚國票05購01
6981,073169,台達化國票05購01
6982,073170,新纖國票05購01
6983,073171,永冠國票04購01
6984,073172,大亞國票04購01
6985,073173,台玻國票05購01
6986,073174,正新國票05購01
6987,073175,精英國票05購01
6988,073176,可成國票06購01
6989,073177,萬海國票05購01
6990,073178,玉晶光國票07購02
6991,073179,達邁國票04購01
6992,073180,欣陸國票05購01
6993,073181,合勤控國票05購01
6994,073182,炎洲國票05購01
6995,073183,億豐國票05購01
6996,073184,元金2X康和04購01
6997,073185,台聚康和04購01
6998,073186,永豐餘康和04購01
6999,073187,東鋼康和04購01
7000,073188,順德康和04購01
7001,073189,萬海康和04購01
7002,073190,台灣大康和04購01
7003,073191,大聯大康和04購01
7004,073192,欣陸康和04購01
7005,073193,合勤控康和04購01
7006,073194,松翰康和04購01
7007,073195,台聚凱基04購01
7008,073196,聯成凱基04購01
7009,073197,永冠凱基04購01
7010,073198,大亞凱基04購01
7011,073199,中纖凱基05購01
7012,073200,台肥凱基04購01
7013,073201,台玻凱基04購01
7014,073202,永豐餘凱基04購01
7015,073203,東鋼凱基04購01
7016,073204,中鴻凱基04購01
7017,073205,新光鋼凱基04購01
7018,073206,南帝凱基05購01
7019,073207,國巨凱基05購02
7020,073208,精英凱基04購01
7021,073209,光罩凱基04購01
7022,073210,友達凱基05購02
7023,073211,聯發科凱基04購05
7024,073212,義隆凱基04購04
7025,073213,可成凱基04購05
7026,073214,大立光凱基04購05
7027,073215,聯詠凱基04購01
7028,073216,群創凱基05購02
7029,073217,達邁凱基04購01
7030,073218,欣陸凱基04購01
7031,073219,合勤控凱基04購01
7032,073220,材料凱基04購01
7033,073221,億豐凱基04購01
7034,073222,康那香凱基04購01
7035,073223,元石油群益04購01
7036,073224,元石油群益04購02
7037,073225,元石油群益04購03
7038,073226,元石油群益04購04
7039,073227,台達化群益04購01
7040,073228,永冠群益04購01
7041,073229,大亞群益04購01
7042,073230,喬山群益04購01
7043,073231,東鋼群益04購01
7044,073232,中鴻群益04購01
7045,073233,新光鋼群益04購01
7046,073234,正新群益04購01
7047,073235,精英群益04購01
7048,073236,光罩群益04購01
7049,073237,萬海群益04購01
7050,073238,玉晶光群益04購05
7051,073239,欣陸群益04購01
7052,073240,炎洲群益04購01
7053,073241,材料群益04購01
7054,073242,帆宣群益04購01
7055,073243,億豐群益04購01
7056,073244,台達化國泰06購01
7057,073245,永冠國泰06購01
7058,073246,大亞國泰06購01
7059,073247,精英國泰06購01
7060,073248,上銀富邦06購01
7061,073249,智邦富邦06購01
7062,073250,精元富邦06購01
7063,073251,強茂富邦06購01
7064,073252,漢翔富邦04購01
7065,073253,大立光富邦08購01
7066,073254,聯陽富邦06購01
7067,073255,台聚永豐04購01
7068,073256,台達化永豐04購01
7069,073257,聯成永豐04購01
7070,073258,華城永豐04購01
7071,073259,永冠永豐04購01
7072,073260,聲寶永豐04購01
7073,073261,大亞永豐04購01
7074,073262,興農永豐04購01
7075,073263,中纖永豐04購01
7076,073264,台肥永豐04購01
7077,073265,喬山永豐04購01
7078,073266,勝一永豐04購01
7079,073267,台玻永豐04購01
7080,073268,東鋼永豐04購01
7081,073269,新光鋼永豐04購01
7082,073270,正新永豐04購01
7083,073271,精英永豐04購01
7084,073272,光罩永豐04購01
7085,073273,海悅永豐04購01
7086,073274,瑞軒永豐04購01
7087,073275,萬海永豐04購01
7088,073276,漢翔永豐04購01
7089,073277,華立永豐04購01
7090,073278,華晶科永豐04購01
7091,073279,達邁永豐04購01
7092,073280,貿聯永豐04購01
7093,073281,大聯大永豐04購01
7094,073282,欣陸永豐04購01
7095,073283,合勤控永豐04購01
7096,073284,炎洲永豐04購01
7097,073285,材料永豐04購01
7098,073286,訊連永豐04購01
7099,073287,長虹永豐04購01
7100,073288,達運永豐04購01
7101,073289,精誠永豐04購01
7102,073290,南六永豐04購01
7103,073291,長華永豐04購01
7104,073292,億豐永豐04購01
7105,073293,T50反1中信08購02
7106,073294,香港2X中信06購01
7107,073295,元金2X中信06購01
7108,073296,聯電中信05購01
7109,073297,大立光中信06購01
7110,073298,大成鋼兆豐04購01
7111,073299,鴻海兆豐04購02
7112,073300,聯發科兆豐04購02
7113,073301,華新科兆豐05購01
7114,073302,大立光兆豐05購01
7115,073303,康控兆豐04購01
7116,073304,台灣50群益04購02
7117,073305,T50反1群益04購02
7118,073306,台聚群益04購01
7119,073307,聯成群益04購01
7120,073308,台肥群益04購01
7121,073309,台玻群益04購01
7122,073310,南帝群益04購01
7123,073311,聯電群益04購09
7124,073312,台光電群益04購02
7125,073313,可成群益04購05
7126,073314,大立光群益04購02
7127,073315,大立光群益04購03
7128,073316,欣興群益05購01
7129,073317,合勤控群益04購01
7130,073318,世紀鋼群益04購05
7131,073319,道瓊反國票05購01
7132,073320,道瓊反國票06購01
7133,073321,道瓊反國票06購02
7134,073322,大成國票05購01
7135,073323,台肥國票05購01
7136,073324,永豐餘國票05購01
7137,073325,台橡國票05購01
7138,073326,敬鵬國票05購01
7139,073327,億光國票05購01
7140,073328,友達國票05購01
7141,073329,友達國票06購01
7142,073330,友達國票06購02
7143,073331,義隆國票05購02
7144,073332,富邦金國票05購01
7145,073333,臻鼎國票05購01
7146,073334,大亞康和04購01
7147,073335,正新康和04購01
7148,073336,台灣50凱基06購02
7149,073337,台達化凱基04購01
7150,073338,新纖凱基04購01
7151,073339,喬山凱基04購01
7152,073340,正新凱基04購01
7153,073341,華通凱基05購02
7154,073342,宏碁凱基04購03
7155,073343,億光凱基04購01
7156,073344,美律凱基04購01
7157,073345,萬海凱基04購01
7158,073346,大立光凱基04購06
7159,073347,大立光凱基05購03
7160,073348,大立光凱基07購01
7161,073349,玉晶光凱基04購07
7162,073350,大聯大凱基04購01
7163,073351,炎洲凱基04購01
7164,073352,樺漢凱基04購01
7165,073353,滬深2X元大05購01
7166,073354,滬深2X元大05購02
7167,073355,滬深2X元大05購03
7168,073356,臺指反元大04購11
7169,073357,FBVIX元大05購01
7170,073358,SP黃豆元大05購02
7171,073359,元金2X元大05購01
7172,073360,聯電元大05購01
7173,073361,聯電元大06購01
7174,073362,鴻海元大04購06
7175,073363,國巨元大04購09
7176,073364,華邦電元大04購02
7177,073365,南亞科元大04購01
7178,073366,南亞科元大04購02
7179,073367,可成元大04購05
7180,073368,大立光元大04購06
7181,073369,大立光元大05購04
7182,073370,玉晶光元大06購02
7183,073371,創意元大04購01
7184,073372,智易元大04購02
7185,073373,臻鼎元大04購02
7186,073374,松翰元大04購03
7187,073375,GIS元大04購02
7188,073376,GIS元大04購03
7189,073377,大亞統一06購01
7190,073378,華通統一05購01
7191,073379,精元統一06購03
7192,073380,華新科統一06購01
7193,073381,萬海統一06購01
7194,073382,欣興統一06購02
7195,073383,景碩統一05購03
7196,073384,玉晶光統一04購03
7197,073385,欣陸統一06購01
7198,073386,日月光統一05購01
7199,073387,聯茂統一05購01
7200,073388,台郡統一05購01
7201,073389,南六統一06購01
7202,073390,緯穎統一05購02
7203,073391,T50反1元富07購10
7204,073392,T50反1元富07購11
7205,073393,元金2X元富08購01
7206,073394,台達電元富0A購01
7207,073395,鴻海元富07購16
7208,073396,鴻海元富07購17
7209,073397,國巨元富07購23
7210,073398,國巨元富07購24
7211,073399,台積電元富07購31
7212,073400,台積電元富07購32
7213,073401,旺宏元富0A購02
7214,073402,旺宏元富0A購03
7215,073403,聯發科元富07購11
7216,073404,可成元富07購08
7217,073405,可成元富07購09
7218,073406,萬海元富06購01
7219,073407,大立光元富07購03
7220,073408,欣興元富0A購01
7221,073409,欣興元富0A購02
7222,073410,欣陸元富06購01
7223,073411,申豐元富0A購01
7224,073412,南電元富07購07
7225,073413,世紀鋼元富0A購01
7226,073414,大立光國泰06購02
7227,073415,元金2X富邦07購02
7228,073416,聯詠富邦06購01
7229,073417,彩晶富邦06購01
7230,073418,新纖永豐04購01
7231,073419,精英永豐04購02
7232,073420,義隆永豐04購01
7233,073421,可成永豐04購01
7234,073422,國揚永豐04購01
7235,073423,大立光永豐04購01
7236,073424,晶技永豐04購01
7237,073425,松翰永豐04購01
7238,073426,惠特永豐04購01
7239,073427,SP黃豆中信06購01
7240,073428,台橡群益04購01
7241,073429,南亞科群益04購01
7242,073430,華新科群益04購01
7243,073431,新光金群益04購01
7244,073432,大立光群益05購01
7245,073433,晶技群益04購02
7246,073434,泰鼎群益04購01
7247,073435,大立光麥證04購01
7248,073436,新日興麥證04購01
7249,073437,臺股指麥證05購01
7250,073438,台積電凱基04購10
7251,073439,台積電凱基04購11
7252,073440,敬鵬凱基04購01
7253,073441,瑞昱凱基04購03
7254,073442,群光凱基04購01
7255,073443,南亞科凱基05購01
7256,073444,友達凱基04購02
7257,073445,聯發科凱基05購01
7258,073446,可成凱基05購01
7259,073447,智易凱基05購01
7260,073448,日月光凱基04購03
7261,073449,康控凱基05購01
7262,073450,臻鼎凱基04購01
7263,073451,嘉聯益凱基04購01
7264,073452,盛群凱基04購01
7265,073453,聯茂凱基05購01
7266,073454,志超凱基04購01
7267,073455,宏全凱基04購01
7268,073456,元石油元大04購01
7269,073457,元石油元大04購02
7270,073458,元石油元大04購03
7271,073459,SP黃豆元大05購03
7272,073460,元金2X元大05購02
7273,073461,遠東新元大04購01
7274,073462,力山元大04購02
7275,073463,喬山元大04購01
7276,073464,台橡元大04購02
7277,073465,智邦元大04購04
7278,073466,智邦元大05購01
7279,073467,南亞科元大04購03
7280,073468,可成元大04購06
7281,073469,可成元大04購07
7282,073470,強茂元大04購03
7283,073471,華新科元大04購02
7284,073472,華新科元大04購03
7285,073473,新興元大04購01
7286,073474,大立光元大04購08
7287,073475,大立光元大07購01
7288,073476,奇鋐元大05購01
7289,073477,玉晶光元大07購01
7290,073478,創意元大04購02
7291,073479,祥碩元大04購05
7292,073480,祥碩元大04購06
7293,073481,松翰元大04購04
7294,073482,寶成元大04購01
7295,073483,臺股指元大04購28
7296,073484,臺股指元大04購29
7297,073485,臺股指元大04購30
7298,073486,台灣50統一05購01
7299,073487,華城統一06購01
7300,073488,華城統一07購01
7301,073489,和大統一06購01
7302,073490,東鋼統一06購01
7303,073491,南港統一04購01
7304,073492,國巨統一06購01
7305,073493,燿華統一06購01
7306,073494,南亞科統一05購03
7307,073495,美律統一05購02
7308,073496,宏達電統一06購01
7309,073497,萬海統一06購02
7310,073498,大立光統一05購04
7311,073499,大立光統一06購01
7312,073500,大立光統一06購02
7313,073501,大立光統一06購03
7314,073502,大立光統一07購01
7315,073503,奇鋐統一05購01
7316,073504,GIS統一04購01
7317,073505,瑞昱元富0A購01
7318,073506,大立光元富04購03
7319,073507,聯陽元富0A購01
7320,073508,松翰元富0A購01
7321,073509,聯成國票05購01
7322,073510,中纖國票05購01
7323,073511,華通國票05購02
7324,073512,鴻海國票05購02
7325,073513,光罩國票05購01
7326,073514,美律國票05購01
7327,073515,瑞軒國票05購01
7328,073516,台郡國票05購01
7329,073517,惠特國票05購01
7330,073518,智邦兆豐05購01
7331,073519,南亞科兆豐04購01
7332,073520,新光金兆豐04購01
7333,073521,泰鼎兆豐04購01
7334,073522,T50反1國泰07購02
7335,073523,國巨國泰06購02
7336,073524,台積電國泰07購03
7337,073525,聯發科國泰08購02
7338,073526,智易國泰06購01
7339,073527,SP黃豆富邦07購01
7340,073528,國巨富邦06購01
7341,073529,上証2X永豐04購01
7342,073530,滬深2X永豐04購01
7343,073531,華新永豐04購01
7344,073532,川湖永豐04購01
